Threshold Error Accuracy
0.61 1.33865 0.357107
0.611 1.33608 0.356463
0.612 1.33626 0.355797
0.613 1.33382 0.355107
0.614 1.33249 0.35438
0.615 1.32825 0.353777
0.616 1.32244 0.353127
0.617 1.32224 0.35246
0.618 1.32058 0.3518
0.619 1.31912 0.351173
0.62 1.31641 0.35059
0.621 1.31547 0.349823
0.622 1.31441 0.349077
0.623 1.31201 0.348397
0.624 1.31132 0.347733
0.625 1.31249 0.347057
0.626 1.31083 0.34638
0.627 1.30883 0.34566
0.628 1.30791 0.34495
0.629 1.3048 0.344323
0.63 1.30504 0.3436
0.631 1.30563 0.34288
0.632 1.30551 0.34225
0.633 1.30457 0.34163
0.634 1.30301 0.340967
0.635 1.30085 0.340363
0.636 1.30004 0.339707
0.637 1.29881 0.339047
0.638 1.29698 0.338343
0.639 1.29531 0.33769
0.64 1.29248 0.337133
0.641 1.28975 0.33645
0.642 1.28905 0.33573
0.643 1.28757 0.334997
0.644 1.28578 0.33435
0.645 1.28226 0.333727
0.646 1.28154 0.333
0.647 1.27839 0.33237
0.648 1.27824 0.33159
0.649 1.27856 0.330897
0.65 1.27715 0.33023
0.651 1.27722 0.3296
0.652 1.27747 0.32893
0.653 1.27643 0.328263
0.654 1.27584 0.327593
0.655 1.27576 0.326887
0.656 1.27644 0.326203
0.657 1.27579 0.325537
0.658 1.27575 0.32482
0.659 1.27554 0.32413
0.66 1.27407 0.32345
0.661 1.27362 0.322823
0.662 1.27255 0.322137
0.663 1.26948 0.3215
0.664 1.26831 0.320827
0.665 1.26912 0.32022
0.666 1.26919 0.31956
0.667 1.26799 0.318897
0.668 1.26642 0.3182
0.669 1.26527 0.317507
0.67 1.26593 0.316807
0.671 1.26728 0.316057
0.672 1.26518 0.31537
0.673 1.2655 0.314637
0.674 1.26524 0.313937
0.675 1.26419 0.313327
0.676 1.26295 0.31263
0.677 1.26061 0.31197
0.678 1.2622 0.311267
0.679 1.26119 0.31062
0.68 1.25895 0.309937
0.681 1.25819 0.309223
0.682 1.25635 0.30854
0.683 1.25387 0.307877
0.684 1.24968 0.30727
0.685 1.24813 0.30661
0.686 1.24761 0.30594
0.687 1.24708 0.305153
0.688 1.24505 0.30447
0.689 1.24473 0.303727
0.69 1.24259 0.30307
0.691 1.2412 0.302353
0.692 1.24036 0.3016
0.693 1.23908 0.300847
0.694 1.23895 0.300057
0.695 1.23773 0.2994
0.696 1.23732 0.29878
0.697 1.23561 0.298097
0.698 1.23432 0.297307
0.699 1.23365 0.296623
0.7 1.23207 0.295903
0.701 1.22915 0.295227
0.702 1.2277 0.294587
0.703 1.22936 0.293853
0.704 1.23022 0.293177
0.705 1.2295 0.29248
0.706 1.2296 0.29173
0.707 1.23067 0.291
0.708 1.23038 0.290333
0.709 1.22736 0.289653
0.71 1.22646 0.28899
0.711 1.22582 0.288263
0.712 1.22509 0.28742
0.713 1.22255 0.28673
0.714 1.22086 0.286093
0.715 1.22181 0.285387
0.716 1.22143 0.284717
0.717 1.22407 0.284027
0.718 1.22524 0.28327
0.719 1.22287 0.282663
0.72 1.22434 0.281963
0.721 1.22549 0.281207
0.722 1.22517 0.280517
0.723 1.22363 0.27983
0.724 1.22298 0.2792
0.725 1.2231 0.27854
0.726 1.22475 0.27781
0.727 1.22203 0.277113
0.728 1.22168 0.276403
0.729 1.21898 0.275663
0.73 1.2192 0.274967
0.731 1.21797 0.274303
0.732 1.21578 0.273583
0.733 1.21287 0.27288
0.734 1.21333 0.272123
0.735 1.2119 0.271347
0.736 1.21146 0.27064
0.737 1.21229 0.269947
0.738 1.21227 0.269293
0.739 1.21282 0.2685
0.74 1.20822 0.26768
0.741 1.2077 0.266983
0.742 1.20671 0.266227
0.743 1.20544 0.265533
0.744 1.20468 0.264867
0.745 1.20577 0.264093
0.746 1.20509 0.263407
0.747 1.20378 0.262693
0.748 1.20266 0.261947
0.749 1.19968 0.261303
0.75 1.19799 0.260513
0.751 1.19883 0.259777
0.752 1.19607 0.259047
0.753 1.19763 0.25831
0.754 1.19691 0.257603
0.755 1.19751 0.25692
0.756 1.19478 0.25617
0.757 1.19577 0.255397
0.758 1.19649 0.254677
0.759 1.19804 0.25395
0.76 1.19778 0.253137
