Threshold Error Accuracy 2B2JPredictHH
0.452000 2.959117 0.547425 0.001355
0.453000 2.953458 0.547001 0.001348
0.454000 2.951172 0.546591 0.001343
0.455000 2.947934 0.546163 0.001338
0.456000 2.943620 0.545737 0.001332
0.457000 2.940423 0.545289 0.001327
0.458000 2.937858 0.544852 0.001323
0.459000 2.931525 0.544411 0.001315
0.460000 2.927168 0.543976 0.001309
0.461000 2.924658 0.543517 0.001304
0.462000 2.921109 0.543071 0.001299
0.463000 2.917118 0.542620 0.001293
0.464000 2.914940 0.542160 0.001289
0.465000 2.911127 0.541676 0.001283
0.466000 2.909375 0.541197 0.001279
0.467000 2.905065 0.540719 0.001273
0.468000 2.903284 0.540243 0.001270
0.469000 2.898722 0.539754 0.001263
0.470000 2.893321 0.539276 0.001256
0.471000 2.887981 0.538782 0.001249
0.472000 2.883548 0.538311 0.001243
0.473000 2.880615 0.537832 0.001238
0.474000 2.876741 0.537324 0.001232
0.475000 2.871740 0.536817 0.001225
0.476000 2.867585 0.536282 0.001219
0.477000 2.864404 0.535764 0.001214
0.478000 2.861632 0.535237 0.001210
0.479000 2.858426 0.534725 0.001204
0.480000 2.856136 0.534177 0.001200
0.481000 2.850744 0.533643 0.001193
0.482000 2.848319 0.533117 0.001189
0.483000 2.844762 0.532582 0.001183
0.484000 2.840492 0.532032 0.001177
0.485000 2.839660 0.531475 0.001174
0.486000 2.832609 0.530938 0.001165
0.487000 2.824956 0.530372 0.001156
0.488000 2.821908 0.529791 0.001151
0.489000 2.815965 0.529239 0.001144
0.490000 2.813650 0.528653 0.001139
0.491000 2.808202 0.528063 0.001132
0.492000 2.805441 0.527479 0.001128
0.493000 2.799229 0.526876 0.001120
0.494000 2.796892 0.526280 0.001115
0.495000 2.790303 0.525667 0.001107
0.496000 2.786030 0.525055 0.001101
0.497000 2.783341 0.524436 0.001096
0.498000 2.781462 0.523807 0.001092
0.499000 2.779198 0.523173 0.001088
0.500000 2.773709 0.522536 0.001081
0.501000 2.769121 0.521877 0.001074
0.502000 2.766193 0.521209 0.001069
0.503000 2.762074 0.520538 0.001063
0.504000 2.760672 0.519878 0.001059
0.505000 2.759633 0.519219 0.001056
0.506000 2.756097 0.518575 0.001051
0.507000 2.751290 0.517933 0.001044
0.508000 2.747541 0.517322 0.001039
0.509000 2.744386 0.516660 0.001034
0.510000 2.742364 0.516020 0.001030
0.511000 2.740737 0.515385 0.001026
0.512000 2.737871 0.514741 0.001021
0.513000 2.734165 0.514084 0.001016
0.514000 2.731238 0.513442 0.001011
0.515000 2.728262 0.512804 0.001006
0.516000 2.726237 0.512154 0.001002
0.517000 2.724592 0.511498 0.000998
0.518000 2.719550 0.510839 0.000992
0.519000 2.715868 0.510170 0.000986
0.520000 2.713222 0.509527 0.000982
0.521000 2.711026 0.508875 0.000978
0.522000 2.709629 0.508239 0.000975
0.523000 2.704957 0.507575 0.000969
0.524000 2.704554 0.506913 0.000966
0.525000 2.701480 0.506261 0.000961
0.526000 2.697727 0.505576 0.000956
0.527000 2.694334 0.504894 0.000951
0.528000 2.687589 0.504253 0.000943
0.529000 2.683971 0.503602 0.000938
0.530000 2.683446 0.502957 0.000935
0.531000 2.678056 0.502300 0.000929
0.532000 2.675750 0.501625 0.000925
0.533000 2.673752 0.500988 0.000921
0.534000 2.672278 0.500344 0.000918
0.535000 2.670037 0.499664 0.000914
0.536000 2.669115 0.499001 0.000911
0.537000 2.667572 0.498347 0.000907
0.538000 2.665606 0.497686 0.000903
0.539000 2.662197 0.497038 0.000899
0.540000 2.661001 0.496393 0.000896
0.541000 2.659010 0.495725 0.000892
0.542000 2.655598 0.495057 0.000887
0.543000 2.652235 0.494387 0.000882
0.544000 2.651983 0.493739 0.000880
0.545000 2.648507 0.493087 0.000875
0.546000 2.645090 0.492414 0.000871
0.547000 2.639269 0.491746 0.000864
0.548000 2.637146 0.491088 0.000860
0.549000 2.637259 0.490450 0.000858
0.550000 2.636512 0.489791 0.000856
0.551000 2.630629 0.489106 0.000849
0.552000 2.628493 0.488432 0.000845
0.553000 2.626226 0.487769 0.000842
0.554000 2.624385 0.487124 0.000838
0.555000 2.620206 0.486467 0.000833
0.556000 2.614487 0.485802 0.000827
0.557000 2.611172 0.485136 0.000823
0.558000 2.603251 0.484491 0.000815
0.559000 2.602286 0.483837 0.000813
0.560000 2.598027 0.483157 0.000808
0.561000 2.594192 0.482480 0.000803
0.562000 2.592751 0.481822 0.000800
0.563000 2.590872 0.481152 0.000796
0.564000 2.586945 0.480482 0.000792
0.565000 2.583452 0.479813 0.000787
0.566000 2.577348 0.479162 0.000781
0.567000 2.571742 0.478498 0.000775
0.568000 2.566123 0.477829 0.000770
0.569000 2.564706 0.477141 0.000766
0.570000 2.562780 0.476461 0.000763
0.571000 2.558052 0.475794 0.000758
0.572000 2.555292 0.475143 0.000754
0.573000 2.551148 0.474462 0.000750
0.574000 2.545713 0.473819 0.000744
0.575000 2.544099 0.473134 0.000741
0.576000 2.542481 0.472452 0.000738
0.577000 2.539380 0.471760 0.000734
0.578000 2.536573 0.471099 0.000730
0.579000 2.533809 0.470427 0.000726
0.580000 2.530501 0.469753 0.000722
0.581000 2.526681 0.469061 0.000718
0.582000 2.521181 0.468382 0.000713
0.583000 2.516647 0.467718 0.000708
0.584000 2.514780 0.467047 0.000705
0.585000 2.510711 0.466380 0.000700
0.586000 2.510668 0.465680 0.000698
0.587000 2.506653 0.464997 0.000694
0.588000 2.504119 0.464344 0.000691
0.589000 2.499944 0.463684 0.000686
0.590000 2.495764 0.463008 0.000682
0.591000 2.494138 0.462382 0.000679
0.592000 2.488844 0.461713 0.000674
0.593000 2.485461 0.460992 0.000670
0.594000 2.484161 0.460304 0.000667
0.595000 2.481548 0.459628 0.000664
0.596000 2.475335 0.458965 0.000658
0.597000 2.473273 0.458278 0.000655
0.598000 2.470737 0.457577 0.000652
0.599000 2.468440 0.456934 0.000649
0.600000 2.467452 0.456264 0.000646
0.601000 2.463462 0.455583 0.000642
0.602000 2.461323 0.454919 0.000639
0.603000 2.457974 0.454242 0.000636
0.604000 2.454066 0.453561 0.000632
0.605000 2.451734 0.452904 0.000629
0.606000 2.446563 0.452215 0.000624
0.607000 2.447362 0.451534 0.000622
0.608000 2.442102 0.450843 0.000618
0.609000 2.440946 0.450181 0.000615
0.610000 2.437488 0.449479 0.000612
0.611000 2.432108 0.448796 0.000607
0.612000 2.431585 0.448114 0.000605
0.613000 2.426164 0.447427 0.000600
0.614000 2.422499 0.446742 0.000596
0.615000 2.414227 0.446083 0.000590
0.616000 2.402962 0.445394 0.000582
0.617000 2.401749 0.444712 0.000580
0.618000 2.397879 0.444037 0.000576
0.619000 2.394762 0.443332 0.000573
0.620000 2.389524 0.442653 0.000569
0.621000 2.386292 0.441967 0.000565
0.622000 2.382955 0.441286 0.000562
0.623000 2.377632 0.440606 0.000557
0.624000 2.375574 0.439917 0.000555
0.625000 2.376795 0.439229 0.000554
0.626000 2.373029 0.438511 0.000550
0.627000 2.368100 0.437842 0.000546
0.628000 2.365333 0.437145 0.000543
0.629000 2.359132 0.436460 0.000538
0.630000 2.358414 0.435756 0.000536
0.631000 2.358170 0.435084 0.000534
0.632000 2.357236 0.434416 0.000532
0.633000 2.355049 0.433718 0.000530
0.634000 2.351469 0.433017 0.000526
0.635000 2.347117 0.432335 0.000522
0.636000 2.344939 0.431632 0.000520
0.637000 2.341910 0.430942 0.000517
0.638000 2.337637 0.430228 0.000513
0.639000 2.333757 0.429559 0.000510
0.640000 2.328691 0.428842 0.000505
0.641000 2.322822 0.428148 0.000501
0.642000 2.320353 0.427457 0.000498
0.643000 2.316462 0.426748 0.000495
0.644000 2.312412 0.426076 0.000492
0.645000 2.305676 0.425359 0.000487
0.646000 2.303077 0.424671 0.000484
0.647000 2.296883 0.423967 0.000480
0.648000 2.295093 0.423250 0.000477
0.649000 2.294716 0.422543 0.000476
0.650000 2.291384 0.421839 0.000473
0.651000 2.290904 0.421145 0.000471
0.652000 2.290625 0.420421 0.000469
0.653000 2.287869 0.419733 0.000466
0.654000 2.286173 0.418994 0.000464
0.655000 2.284927 0.418292 0.000462
0.656000 2.285313 0.417570 0.000461
0.657000 2.283370 0.416857 0.000458
0.658000 2.282100 0.416158 0.000456
0.659000 2.280735 0.415456 0.000454
0.660000 2.277297 0.414730 0.000451
0.661000 2.276069 0.414003 0.000449
0.662000 2.273407 0.413259 0.000446
0.663000 2.267294 0.412556 0.000442
